movie_id,genre_id
2312,12
2312,14
2312,18
2312,28
2322,18
2322,35
2322,80
2330,12
2330,28
2330,35
2330,80
2362,12
2362,37
2362,878
2440,18
2440,28
2440,53
2454,12
2454,14
2454,10751
2486,12
2486,14
2486,28
2486,10751
2493,12
2493,14
2493,35
2493,10749
2493,10751
2501,18
2501,28
2501,53
2501,9648
2502,18
2502,28
2502,53
2503,18
2503,28
2503,53
2503,9648
2517,18
2539,18
2539,35
2567,18
2605,35
2605,878
2605,10751
2609,35
2614,28
2614,35
2614,878
2619,14
2619,35
2619,10749
2623,18
2623,10749
2636,28
2636,53
2640,35
2640,80
2642,35
2642,10749
2649,18
2649,53
2649,9648
2652,18
2652,53
2655,18
2655,27
2655,53
2655,9648
2666,878
2666,9648
2667,27
2667,9648
2668,14
2668,27
2668,53
2668,9648
2671,27
2671,53
2675,27
2675,53
2675,878
2698,14
2698,35
2698,10751
2756,12
2756,53
2756,878
2758,14
2758,35
2758,10751
2770,35
2770,10749
2832,53
2832,9648
2898,18
2898,35
2898,10749
2899,12
2899,14
2899,35
2899,10751
2907,14
2907,35
2924,18
2924,28
2924,53
2924,80
2976,18
2976,35
2976,10749
2978,14
2978,35
3021,27
3021,9648
3049,35
3049,80
3049,9648
3050,14
3050,35
3050,10751
3082,18
3082,35
3082,10749
3084,18
3084,10749
3116,18
3131,18
3131,36
3131,80
3134,18
3134,53
3134,80
3170,16
3170,18
3170,10751
3175,18
3175,36
3175,10749
3175,10752
3176,18
3176,28
3176,53
3536,12
3536,28
3536,10752
3558,18
3563,35
3563,10749
3580,18
3580,80
3580,9648
3591,12
3591,14
3595,28
3595,53
3597,27
3597,53
3597,9648
3782,18
3933,14
3933,16
3933,10749
3981,35
3981,10749
4011,14
4011,35
4032,18
4032,35
4105,18
4105,28
4105,53
4108,28
4108,53
4108,80
4133,18
4133,80
4141,28
4141,35
4141,53
4141,80
4147,18
4147,53
4147,80
4148,18
4148,10749
4176,18
4176,53
4176,9648
4192,9648
4232,27
4232,80
4232,9648
4233,27
4233,9648
4234,27
4234,9648
4247,35
4248,35
4256,35
4257,35
4258,35
4327,12
4327,28
4327,35
4347,18
4347,10749
4348,18
4348,10749
4349,18
4349,28
4349,53
4379,35
4379,10749
4413,18
4413,53
4413,80
4421,18
4421,28
4421,10752
4442,12
4442,14
4442,28
4442,35
4442,53
4476,18
4476,37
4476,10749
4476,10752
4478,18
4478,10749
4488,27
4513,27
4513,53
4523,14
4523,35
4523,10749
4523,10751
4547,18
4547,53
4547,80
4550,18
4550,53
4552,18
4552,27
4552,9648
4553,18
4553,53
4561,18
4564,18
4564,35
4564,10749
4584,18
4584,10749
4588,18
4588,28
4588,53
4588,10749
4638,28
4638,35
4638,80
4643,12
4643,18
4643,28
4689,18
4689,28
4689,53
4806,35
4806,10749
4824,28
4824,53
4824,80
4858,27
4858,53
4858,878
4858,9648
4909,28
4909,53
4922,14
4922,18
4922,10749
4935,12
4935,14
4935,16
4944,18
4944,35
4951,18
4951,35
4951,10749
4961,27
4961,878
4964,18
4964,35
4964,10749
4970,27
4970,53
4970,9648
4977,16
4977,53
4977,878
4982,18
4982,80
4995,18
5070,18
5070,35
5123,18
5123,10402
5123,10751
5156,18
5174,28
5174,35
5174,80
5175,28
5175,35
5175,80
5176,37
5255,12
5255,14
5255,16
5255,10751
5289,18
5289,28
5289,80
5336,18
5336,27
5503,18
5503,28
5503,53
5528,18
5528,35
5528,10402
5548,28
5548,53
5548,878
5549,28
5549,53
5549,80
5549,878
5559,12
5559,16
5559,35
5559,10751
5689,12
5689,18
5689,10749
5825,35
5852,18
5852,53
5852,10749
5876,27
5876,53
5876,878
5879,18
5879,10749
5902,18
5902,36
5902,10752
5915,12
5915,18
5924,18
5924,80
5925,12
5925,18
5925,10752
5994,14
5994,18
5994,35
5994,10749
6023,18
6023,10749
6069,14
6069,27
6069,35
6075,18
6075,53
6075,80
6114,27
6114,10749
6145,53
6278,12
6278,14
6278,28
6282,18
6282,35
6282,10402
6282,10749
6312,12
6312,27
6312,28
6312,36
6435,14
6435,35
6435,10749
6466,27
6477,14
6477,16
6477,35
6477,10751
6479,18
6479,53
6479,878
6522,35
6522,80
6557,35
6557,10749
6620,18
6620,35
6620,10749
6637,12
6637,28
6637,53
6637,9648
6795,12
6795,878
6795,10751
6844,18
6844,36
6947,18
6947,53
6947,9648
6950,18
6950,28
6950,53
6950,878
6957,35
6957,10749
6964,18
6964,35
6964,10749
6977,37
6977,53
6977,80
6978,12
6978,14
6978,28
6978,35
7090,18
7095,18
7095,35
7095,10751
7131,12
7131,27
7131,28
7191,28
7191,53
7191,878
7214,18
7214,36
7220,18
7220,28
7220,80
7278,14
7278,35
7299,28
7299,53
7299,878
7326,18
7326,35
7326,10749
7340,27
7340,53
7345,18
7347,18
7347,28
7347,80
7350,18
7350,35
7442,18
7442,53
7443,16
7443,35
7443,10751
7445,18
7445,53
7445,10752
7446,12
7446,28
7446,35
7446,10752
7451,12
7451,18
